None	ticker	m_ticker	comp_name	fye	per_type	per_end_date	active_ticker_flag	mkt_val	ep_val
26	AAPL	AAPL	APPLE INC	9	Q	2011-03-31	Y	321072.31	291838.31
27	AXP	AXP	AMER EXPRESS CO	12	Q	2017-09-30	Y	78518.94	101112.94
28	AXP	AXP	AMER EXPRESS CO	12	Q	2017-06-30	Y	74466.44	95969.44
29	AXP	AXP	AMER EXPRESS CO	12	Q	2017-03-31	Y	70706.87	92987.87
30	AXP	AXP	AMER EXPRESS CO	12	Q	2016-12-31	Y	67802.09	89584.09
31	AXP	AXP	AMER EXPRESS CO	12	Q	2016-09-30	Y	58612.93	76986.94
32	AXP	AXP	AMER EXPRESS CO	12	Q	2016-06-30	Y	56128.94	73010.94
33	AXP	AXP	AMER EXPRESS CO	12	Q	2016-03-31	Y	58391.41	80657.41
34	AXP	AXP	AMER EXPRESS CO	12	Q	2015-12-31	Y	67393.96	92692.96
35	AXP	AXP	AMER EXPRESS CO	12	Q	2015-09-30	Y	73018.05	101733.05
36	AXP	AXP	AMER EXPRESS CO	12	Q	2015-06-30	Y	77875.45	109544.45
37	AXP	AXP	AMER EXPRESS CO	12	Q	2015-03-31	Y	79369.93	110509.93
38	AXP	AXP	AMER EXPRESS CO	12	Q	2014-12-31	Y	95179.93	130846.93
39	AXP	AXP	AMER EXPRESS CO	12	Q	2014-09-30	Y	90603.9	125051.9
40	AXP	AXP	AMER EXPRESS CO	12	Q	2014-06-30	Y	100429.87	136835.88
41	AXP	AXP	AMER EXPRESS CO	12	Q	2014-03-31	Y	95396.96	128751.96
42	AXP	AXP	AMER EXPRESS CO	12	Q	2013-12-31	Y	97196.42	133040.42
43	AXP	AXP	AMER EXPRESS CO	12	Q	2013-09-30	Y	81475.8	111718.8
44	AXP	AXP	AMER EXPRESS CO	12	Q	2013-06-30	Y	82134.26	111680.26
45	AXP	AXP	AMER EXPRESS CO	12	Q	2013-03-31	Y	74339.98	102741.98
46	AXP	AXP	AMER EXPRESS CO	12	Q	2012-12-31	Y	64323.68	101046.69
47	AXP	AXP	AMER EXPRESS CO	12	Q	2012-09-30	Y	64459.29	95587.28
48	AXP	AXP	AMER EXPRESS CO	12	Q	2012-06-30	Y	66994.65	100875.65
49	AXP	AXP	AMER EXPRESS CO	12	Q	2012-03-31	Y	67597.49	97359.49
50	AXP	AXP	AMER EXPRESS CO	12	Q	2011-12-31	Y	54787.11	89464.11
51	AXP	AXP	AMER EXPRESS CO	12	Q	2011-09-30	Y	53600.01	90422.01
52	AXP	AXP	AMER EXPRESS CO	12	Q	2011-06-30	Y	62151.37	100464.37
53	AXP	AXP	AMER EXPRESS CO	12	Q	2011-03-31	Y	54345.86	93048.86
54	BA	BA	BOEING CO	12	Q	2017-09-30	Y	151402.02	151150.02
55	BA	BA	BOEING CO	12	Q	2017-06-30	Y	116886.73	116615.73
56	BA	BA	BOEING CO	12	Q	2017-03-31	Y	106749.34	107976.34
57	BA	BA	BOEING CO	12	Q	2016-12-31	Y	96080.4	95619.4
58	BA	BA	BOEING CO	12	Q	2016-09-30	Y	81305.45	81461.45
59	BA	BA	BOEING CO	12	Q	2016-06-30	Y	82728.63	83310.63
60	BA	BA	BOEING CO	12	Q	2016-03-31	Y	80862.19	81231.19
61	BA	BA	BOEING CO	12	Q	2015-12-31	Y	96872.98	93550.98
62	BA	BA	BOEING CO	12	Q	2015-09-30	Y	87734.41	86279.41
63	BA	BA	BOEING CO	12	Q	2015-06-30	Y	94259.55	93538.55
64	BA	BA	BOEING CO	12	Q	2015-03-31	Y	103782.88	103056.88
65	BA	BA	BOEING CO	12	Q	2014-12-31	Y	92666.65	87715.65
66	BA	BA	BOEING CO	12	Q	2014-09-30	Y	90813.03	88037.03
67	BA	BA	BOEING CO	12	Q	2014-06-30	Y	92779.3	88741.3
68	BA	BA	BOEING CO	12	Q	2014-03-31	Y	92495.8	87546.8
69	BA	BA	BOEING CO	12	Q	2013-12-31	Y	101467.22	94281.22
70	BA	BA	BOEING CO	12	Q	2013-09-30	Y	88647.17	81413.17
71	BA	BA	BOEING CO	12	Q	2013-06-30	Y	77719.29	72089.29
72	BA	BA	BOEING CO	12	Q	2013-03-31	Y	65015.07	61416.07
73	BA	BA	BOEING CO	12	Q	2012-12-31	Y	56827.25	52242.25
74	BA	BA	BOEING CO	12	Q	2012-09-30	Y	52321.39	50163.39
75	BA	BA	BOEING CO	12	Q	2012-06-30	Y	55654.34	54082.34
76	BA	BA	BOEING CO	12	Q	2012-03-31	Y	55616.42	53917.42
77	BA	BA	BOEING CO	12	Q	2011-12-31	Y	54516.21	53262.21
78	BA	BA	BOEING CO	12	Q	2011-09-30	Y	44843.48	46387.48
79	BA	BA	BOEING CO	12	Q	2011-06-30	Y	54580.67	56102.67
80	BA	BA	BOEING CO	12	Q	2011-03-31	Y	54491.73	57442.73
81	CAT	CTR	CATERPILLAR INC	12	Q	2017-09-30	Y	73700.21	
82	CAT	CTR	CATERPILLAR INC	12	Q	2017-06-30	Y	63303.65	76886.65
83	CAT	CTR	CATERPILLAR INC	12	Q	2017-03-31	Y	54650.21	68903.22
84	CAT	CTR	CATERPILLAR INC	12	Q	2016-12-31	Y	54259.67	69909.67
85	CAT	CTR	CATERPILLAR INC	12	Q	2016-09-30	Y	51862.18	69371.19
86	CAT	CTR	CATERPILLAR INC	12	Q	2016-06-30	Y	44264.85	61480.85
87	CAT	CTR	CATERPILLAR INC	12	Q	2016-03-31	Y	44691.1	63275.1
88	CAT	CTR	CATERPILLAR INC	12	Q	2015-12-31	Y	39568.62	58277.62
89	CAT	CTR	CATERPILLAR INC	12	Q	2015-09-30	Y	38054.82	57216.82
90	CAT	CTR	CATERPILLAR INC	12	Q	2015-06-30	Y	51201.09	70825.09
91	CAT	CTR	CATERPILLAR INC	12	Q	2015-03-31	Y	48314.11	67554.11
92	CAT	CTR	CATERPILLAR INC	12	Q	2014-12-31	Y	55412.18	75855.17
93	CAT	CTR	CATERPILLAR INC	12	Q	2014-09-30	Y	62175.69	84273.69
94	CAT	CTR	CATERPILLAR INC	12	Q	2014-06-30	Y	67835.51	87215.51
95	CAT	CTR	CATERPILLAR INC	12	Q	2014-03-31	Y	63380.38	84836.38
96	CAT	CTR	CATERPILLAR INC	12	Q	2013-12-31	Y	57787.49	78425.48
97	CAT	CTR	CATERPILLAR INC	12	Q	2013-09-30	Y	54011.1	73669.09
98	CAT	CTR	CATERPILLAR INC	12	Q	2013-06-30	Y	54253.67	73823.67
99	CAT	CTR	CATERPILLAR INC	12	Q	2013-03-31	Y	56969.53	78227.53
100	CAT	CTR	CATERPILLAR INC	12	Q	2012-12-31	Y	58598.05	80860.05
101	CAT	CTR	CATERPILLAR INC	12	Q	2012-09-30	Y	56207.27	77044.27
102	CAT	CTR	CATERPILLAR INC	12	Q	2012-06-30	Y	55403.78	77561.78
103	CAT	CTR	CATERPILLAR INC	12	Q	2012-03-31	Y	68975.22	91302.22
104	CAT	CTR	CATERPILLAR INC	12	Q	2011-12-31	Y	58583.78	80470.78
105	CAT	CTR	CATERPILLAR INC	12	Q	2011-09-30	Y	47705.52	71257.52
106	CAT	CTR	CATERPILLAR INC	12	Q	2011-06-30	Y	68634.02	83845.02
107	CAT	CTR	CATERPILLAR INC	12	Q	2011-03-31	Y	71132.95	86158.95
108	CSCO	CSCO	CISCO SYSTEMS	7	Q	2017-09-30	Y	166528.42	121761.42
109	CSCO	CSCO	CISCO SYSTEMS	7	Q	2017-06-30	Y	156501.67	116749.67
110	CSCO	CSCO	CISCO SYSTEMS	7	Q	2017-03-31	Y	169265.55	127891.55
111	CSCO	CSCO	CISCO SYSTEMS	7	Q	2016-12-31	Y	151697.13	111363.13
112	CSCO	CSCO	CISCO SYSTEMS	7	Q	2016-09-30	Y	159433.7	118160.7
113	CSCO	CSCO	CISCO SYSTEMS	7	Q	2016-06-30	Y	144302.45	105221.45
114	CSCO	CSCO	CISCO SYSTEMS	7	Q	2016-03-31	Y	143264.48	104480.48
115	CSCO	CSCO	CISCO SYSTEMS	7	Q	2015-12-31	Y	137840.94	100327.94
116	CSCO	CSCO	CISCO SYSTEMS	7	Q	2015-09-30	Y	133537.78	94578.78
117	CSCO	CSCO	CISCO SYSTEMS	7	Q	2015-06-30	Y	139658.52	101825.52
118	CSCO	CSCO	CISCO SYSTEMS	7	Q	2015-03-31	Y	140507.95	107152.95
119	CSCO	CSCO	CISCO SYSTEMS	7	Q	2014-12-31	Y	142234.47	109742.47
120	CSCO	CSCO	CISCO SYSTEMS	7	Q	2014-09-30	Y	128873.5	97136.5
121	CSCO	CSCO	CISCO SYSTEMS	7	Q	2014-06-30	Y	128009.34	97924.34
122	CSCO	CSCO	CISCO SYSTEMS	7	Q	2014-03-31	Y	119844.45	85164.45
123	CSCO	CSCO	CISCO SYSTEMS	7	Q	2013-12-31	Y	120773.54	85519.54
124	CSCO	CSCO	CISCO SYSTEMS	7	Q	2013-09-30	Y	125223.15	87541.15
125	CSCO	CSCO	CISCO SYSTEMS	7	Q	2013-06-30	Y	129753.59	95321.59
126	CSCO	CSCO	CISCO SYSTEMS	7	Q	2013-03-31	Y	110936.74	80814.74
127	CSCO	CSCO	CISCO SYSTEMS	7	Q	2012-12-31	Y	104190.05	75462.05
128	CSCO	CSCO	CISCO SYSTEMS	7	Q	2012-09-30	Y	102289.61	69870.61
129	CSCO	CSCO	CISCO SYSTEMS	7	Q	2012-06-30	Y	92476.56	60350.56
130	CSCO	CSCO	CISCO SYSTEMS	7	Q	2012-03-31	Y	113699.52	83256.52
131	CSCO	CSCO	CISCO SYSTEMS	7	Q	2011-12-31	Y	96999.21	68875.21
132	CSCO	CSCO	CISCO SYSTEMS	7	Q	2011-09-30	Y	85252.87	56901.87
133	CSCO	CSCO	CISCO SYSTEMS	7	Q	2011-06-30	Y	86292.0	59093.0
134	CSCO	CSCO	CISCO SYSTEMS	7	Q	2011-03-31	Y	95058.37	66981.37
135	CVX	SD	CHEVRON CORP	12	Q	2017-09-30	Y	222662.86	
136	CVX	SD	CHEVRON CORP	12	Q	2017-06-30	Y	197659.14	226966.14
137	CVX	SD	CHEVRON CORP	12	Q	2017-03-31	Y	203419.14	233384.14
138	CVX	SD	CHEVRON CORP	12	Q	2016-12-31	Y	222190.41	250475.41
139	CVX	SD	CHEVRON CORP	12	Q	2016-09-30	Y	194160.66	226016.66
140	CVX	SD	CHEVRON CORP	12	Q	2016-06-30	Y	197573.33	228044.33
141	CVX	SD	CHEVRON CORP	12	Q	2016-03-31	Y	179800.59	203630.59
142	CVX	SD	CHEVRON CORP	12	Q	2015-12-31	Y	169308.06	191598.06
143	CVX	SD	CHEVRON CORP	12	Q	2015-09-30	Y	148332.11	164389.11
144	CVX	SD	CHEVRON CORP	12	Q	2015-06-30	Y	181409.73	198177.73
145	CVX	SD	CHEVRON CORP	12	Q	2015-03-31	Y	197412.61	214330.61
146	CVX	SD	CHEVRON CORP	12	Q	2014-12-31	Y	212067.77	222880.77
147	CVX	SD	CHEVRON CORP	12	Q	2014-09-30	Y	226580.58	232134.58
148	CVX	SD	CHEVRON CORP	12	Q	2014-06-30	Y	248521.53	254336.53
149	CVX	SD	CHEVRON CORP	12	Q	2014-03-31	Y	227014.67	230877.67
150	CVX	SD	CHEVRON CORP	12	Q	2013-12-31	Y	240223.56	243764.56
151	CVX	SD	CHEVRON CORP	12	Q	2013-09-30	Y	234740.92	234214.92
152	CVX	SD	CHEVRON CORP	12	Q	2013-06-30	Y	229402.58	225157.58
153	CVX	SD	CHEVRON CORP	12	Q	2013-03-31	Y	230831.39	223836.39
154	CVX	SD	CHEVRON CORP	12	Q	2012-12-31	Y	211649.56	201801.56
155	CVX	SD	CHEVRON CORP	12	Q	2012-09-30	Y	228707.05	217289.05
156	CVX	SD	CHEVRON CORP	12	Q	2012-06-30	Y	208117.11	196526.11
157	CVX	SD	CHEVRON CORP	12	Q	2012-03-31	Y	211950.64	201061.64
158	CVX	SD	CHEVRON CORP	12	Q	2011-12-31	Y	211893.92	201634.92
159	CVX	SD	CHEVRON CORP	12	Q	2011-09-30	Y	185456.2	174619.2
160	CVX	SD	CHEVRON CORP	12	Q	2011-06-30	Y	206733.19	198387.19
161	CVX	SD	CHEVRON CORP	12	Q	2011-03-31	Y	215780.8	208664.8
162	DD	DD	DU PONT (EI) DE	12	Q	2017-06-30	N	70040.63	74135.63
163	DD	DD	DU PONT (EI) DE	12	Q	2017-03-31	N	69648.68	72067.68
164	DD	DD	DU PONT (EI) DE	12	Q	2016-12-31	N	63809.71	66186.7
165	DD	DD	DU PONT (EI) DE	12	Q	2016-09-30	N	58219.84	61038.84
166	DD	DD	DU PONT (EI) DE	12	Q	2016-06-30	N	56656.26	59859.26
167	DD	DD	DU PONT (EI) DE	12	Q	2016-03-31	N	55310.78	58884.78
168	DD	DD	DU PONT (EI) DE	12	Q	2015-12-31	N	58368.71	60041.71
169	DD	DD	DU PONT (EI) DE	12	Q	2015-09-30	N	43613.19	48275.19
170	DD	DD	DU PONT (EI) DE	12	Q	2015-06-30	N	57864.39	64887.39
171	DD	DD	DU PONT (EI) DE	12	Q	2015-03-31	N	64697.29	69950.3
172	DD	DD	DU PONT (EI) DE	12	Q	2014-12-31	N	66985.73	69421.73
173	DD	DD	DU PONT (EI) DE	12	Q	2014-09-30	N	65677.77	70645.77
174	DD	DD	DU PONT (EI) DE	12	Q	2014-06-30	N	60096.7	65278.7
175	DD	DD	DU PONT (EI) DE	12	Q	2014-03-31	N	61482.12	67168.13
176	DD	DD	DU PONT (EI) DE	12	Q	2013-12-31	N	60273.77	62165.77
177	DD	DD	DU PONT (EI) DE	12	Q	2013-09-30	N	54076.3	57879.3
178	DD	DD	DU PONT (EI) DE	12	Q	2013-06-30	N	48324.47	52430.47
179	DD	DD	DU PONT (EI) DE	12	Q	2013-03-31	N	45181.58	50116.58
180	DD	DD	DU PONT (EI) DE	12	Q	2012-12-31	N	41941.15	48236.15
181	DD	DD	DU PONT (EI) DE	12	Q	2012-09-30	N	46769.85	53985.85
182	DD	DD	DU PONT (EI) DE	12	Q	2012-06-30	N	47386.07	55321.07
183	DD	DD	DU PONT (EI) DE	12	Q	2012-03-31	N	49463.83	57331.83
184	DD	DD	DU PONT (EI) DE	12	Q	2011-12-31	N	42297.02	50251.02
185	DD	DD	DU PONT (EI) DE	12	Q	2011-09-30	N	37272.11	46730.11
186	DD	DD	DU PONT (EI) DE	12	Q	2011-06-30	N	50196.61	60411.61
187	DD	DD	DU PONT (EI) DE	12	Q	2011-03-31	N	50922.73	54460.73
188	DIS	DIS	DISNEY WALT	9	Q	2017-09-30	Y	152140.92	
189	DIS	DIS	DISNEY WALT	9	Q	2017-06-30	Y	166268.39	180781.39
190	DIS	DIS	DISNEY WALT	9	Q	2017-03-31	Y	179297.72	192285.72
191	DIS	DIS	DISNEY WALT	9	Q	2016-12-31	Y	165066.88	176122.88
192	DIS	DIS	DISNEY WALT	9	Q	2016-09-30	Y	149235.41	161108.41
193	DIS	DIS	DISNEY WALT	9	Q	2016-06-30	Y	158707.19	168609.19
194	DIS	DIS	DISNEY WALT	9	Q	2016-03-31	Y	162031.22	172383.22
195	DIS	DIS	DISNEY WALT	9	Q	2015-12-31	Y	172503.23	181167.23
196	DIS	DIS	DISNEY WALT	9	Q	2015-09-30	Y	172499.08	181003.08
197	DIS	DIS	DISNEY WALT	9	Q	2015-06-30	Y	193668.31	201347.31
198	DIS	DIS	DISNEY WALT	9	Q	2015-03-31	Y	178267.17	186708.17
199	DIS	DIS	DISNEY WALT	9	Q	2014-12-31	Y	159649.7	166739.7
200	DIS	DIS	DISNEY WALT	9	Q	2014-09-30	Y	152824.0	162034.0
201	DIS	DIS	DISNEY WALT	9	Q	2014-06-30	Y	148488.31	157318.31
202	DIS	DIS	DISNEY WALT	9	Q	2014-03-31	Y	140287.38	147118.38
203	DIS	DIS	DISNEY WALT	9	Q	2013-12-31	Y	134256.2	141573.2
204	DIS	DIS	DISNEY WALT	9	Q	2013-09-30	Y	115207.65	124052.65
205	DIS	DIS	DISNEY WALT	9	Q	2013-06-30	Y	113729.43	122581.43
206	DIS	DIS	DISNEY WALT	9	Q	2013-03-31	Y	102548.77	111977.77
207	DIS	DIS	DISNEY WALT	9	Q	2012-12-31	Y	88233.96	97659.96
208	DIS	DIS	DISNEY WALT	9	Q	2012-09-30	Y	93804.7	101114.7
209	DIS	DIS	DISNEY WALT	9	Q	2012-06-30	Y	86687.21	94767.21
210	DIS	DIS	DISNEY WALT	9	Q	2012-03-31	Y	78469.56	87320.56
211	DIS	DIS	DISNEY WALT	9	Q	2011-12-31	Y	67369.24	74829.24
212	DIS	DIS	DISNEY WALT	9	Q	2011-09-30	Y	55977.08	63714.08
213	DIS	DIS	DISNEY WALT	9	Q	2011-06-30	Y	73791.62	79448.62
214	DIS	DIS	DISNEY WALT	9	Q	2011-03-31	Y	81830.89	87424.89
215	GE	GE	GENL ELECTRIC	12	Q	2017-09-30	Y	209691.02	
216	GE	GE	GENL ELECTRIC	12	Q	2017-06-30	Y	233851.11	253516.11
217	GE	GE	GENL ELECTRIC	12	Q	2017-03-31	Y	259519.7	275686.69
218	GE	GE	GENL ELECTRIC	12	Q	2016-12-31	Y	279545.94	292189.94
219	GE	GE	GENL ELECTRIC	12	Q	2016-09-30	Y	265431.75	282224.75
220	GE	GE	GENL ELECTRIC	12	Q	2016-06-30	Y	289479.28	320146.28
221	GE	GE	GENL ELECTRIC	12	Q	2016-03-31	Y	295174.34	319318.34
222	GE	GE	GENL ELECTRIC	12	Q	2015-12-31	Y	292164.81	334373.81
223	GE	GE	GENL ELECTRIC	12	Q	2015-09-30	Y	254955.0	298947.0
224	GE	GE	GENL ELECTRIC	12	Q	2015-06-30	Y	268262.09	322509.09
225	GE	GE	GENL ELECTRIC	12	Q	2015-03-31	Y	249983.78	311356.78
226	GE	GE	GENL ELECTRIC	12	Q	2014-12-31	Y	254150.0	302631.0
227	GE	GE	GENL ELECTRIC	12	Q	2014-09-30	Y	257280.98	333005.0
228	GE	GE	GENL ELECTRIC	12	Q	2014-06-30	Y	263691.0	347212.0
229	GE	GE	GENL ELECTRIC	12	Q	2014-03-31	Y	259618.83	347898.81
230	GE	GE	GENL ELECTRIC	12	Q	2013-12-31	Y	283589.88	372718.88
231	GE	GE	GENL ELECTRIC	12	Q	2013-09-30	Y	243290.53	339765.53
232	GE	GE	GENL ELECTRIC	12	Q	2013-06-30	Y	239787.39	338613.38
233	GE	GE	GENL ELECTRIC	12	Q	2013-03-31	Y	240408.05	336597.06
234	GE	GE	GENL ELECTRIC	12	Q	2012-12-31	Y	220107.44	330325.44
235	GE	GE	GENL ELECTRIC	12	Q	2012-09-30	Y	239791.25	340284.25
236	GE	GE	GENL ELECTRIC	12	Q	2012-06-30	Y	220639.7	328230.69
237	GE	GE	GENL ELECTRIC	12	Q	2012-03-31	Y	212365.83	314373.81
238	GE	GE	GENL ELECTRIC	12	Q	2011-12-31	Y	189082.14	300666.13
239	GE	GE	GENL ELECTRIC	12	Q	2011-09-30	Y	161337.13	291781.13
240	GE	GE	GENL ELECTRIC	12	Q	2011-06-30	Y	200018.73	341480.75
241	GE	GE	GENL ELECTRIC	12	Q	2011-03-31	Y	212900.7	373480.69
242	GS	GS&	GOLDMAN SACHS	12	Q	2017-09-30	Y	91762.91	
243	GS	GS&	GOLDMAN SACHS	12	Q	2017-06-30	Y	87346.66	-102545.34
244	GS	GS&	GOLDMAN SACHS	12	Q	2017-03-31	Y	91380.32	-125805.68
245	GS	GS&	GOLDMAN SACHS	12	Q	2016-12-31	Y	95217.05	-127729.95
246	GS	GS&	GOLDMAN SACHS	12	Q	2016-09-30	Y	65388.86	-166571.14
247	GS	GS&	GOLDMAN SACHS	12	Q	2016-06-30	Y	61719.24	-209048.75
248	GS	GS&	GOLDMAN SACHS	12	Q	2016-03-31	Y	65736.63	-189473.38
249	GS	GS&	GOLDMAN SACHS	12	Q	2015-12-31	Y	76874.59	-161450.41
250	GS	GS&	GOLDMAN SACHS	12	Q	2015-09-30	Y	75215.67	-161728.33
251	GS	GS&	GOLDMAN SACHS	12	Q	2015-06-30	Y	90200.63	-126122.38
252	GS	GS&	GOLDMAN SACHS	12	Q	2015-03-31	Y	84755.68	-127712.32
253	GS	GS&	GOLDMAN SACHS	12	Q	2014-12-31	Y	84421.88	-137052.13
254	GS	GS&	GOLDMAN SACHS	12	Q	2014-09-30	Y	83120.5	-138756.5
255	GS	GS&	GOLDMAN SACHS	12	Q	2014-06-30	Y	74875.16	-120378.84
256	GS	GS&	GOLDMAN SACHS	12	Q	2014-03-31	Y	74183.42	-197795.58
257	GS	GS&	GOLDMAN SACHS	12	Q	2013-12-31	Y	80339.73	-188597.28
258	GS	GS&	GOLDMAN SACHS	12	Q	2013-09-30	Y	71052.75	-217981.25
259	GS	GS&	GOLDMAN SACHS	12	Q	2013-06-30	Y	69348.88	-214090.13
260	GS	GS&	GOLDMAN SACHS	12	Q	2013-03-31	Y	68498.77	-193217.23
261	GS	GS&	GOLDMAN SACHS	12	Q	2012-12-31	Y	59946.06	-167115.94
262	GS	GS&	GOLDMAN SACHS	12	Q	2012-09-30	Y	54500.13	-202118.88
263	GS	GS&	GOLDMAN SACHS	12	Q	2012-06-30	Y	47151.33	-231463.67
264	GS	GS&	GOLDMAN SACHS	12	Q	2012-03-31	Y	61551.21	-224135.78
265	GS	GS&	GOLDMAN SACHS	12	Q	2011-12-31	Y	44519.87	-240237.13
266	GS	GS&	GOLDMAN SACHS	12	Q	2011-09-30	Y	47822.83	-237836.17
267	GS	GS&	GOLDMAN SACHS	12	Q	2011-06-30	Y	68905.35	-197465.66
268	GS	GS&	GOLDMAN SACHS	12	Q	2011-03-31	Y	82552.41	-183060.59
269	HD	HOMD	HOME DEPOT	1	Q	2017-09-30	Y	192807.47	212399.47
270	HD	HOMD	HOME DEPOT	1	Q	2017-06-30	Y	183398.13	202226.13
271	HD	HOMD	HOME DEPOT	1	Q	2017-03-31	Y	176367.66	196178.66
272	HD	HOMD	HOME DEPOT	1	Q	2016-12-31	Y	163331.03	182080.03
273	HD	HOMD	HOME DEPOT	1	Q	2016-09-30	Y	158993.67	175875.67
274	HD	HOMD	HOME DEPOT	1	Q	2016-06-30	Y	158847.27	176494.27
275	HD	HOMD	HOME DEPOT	1	Q	2016-03-31	Y	166986.7	185559.7
276	HD	HOMD	HOME DEPOT	1	Q	2015-12-31	Y	167677.28	182452.28
277	HD	HOMD	HOME DEPOT	1	Q	2015-09-30	Y	148301.06	159683.06
278	HD	HOMD	HOME DEPOT	1	Q	2015-06-30	Y	144355.2	155346.2
279	HD	HOMD	HOME DEPOT	1	Q	2015-03-31	Y	147506.56	162652.56
280	HD	HOMD	HOME DEPOT	1	Q	2014-12-31	Y	138332.3	152844.3
281	HD	HOMD	HOME DEPOT	1	Q	2014-09-30	Y	123474.89	135960.89
282	HD	HOMD	HOME DEPOT	1	Q	2014-06-30	Y	110761.13	122957.13
283	HD	HOMD	HOME DEPOT	1	Q	2014-03-31	Y	111433.0	124195.0
284	HD	HOMD	HOME DEPOT	1	Q	2013-12-31	Y	117947.36	127786.36
285	HD	HOMD	HOME DEPOT	1	Q	2013-09-30	Y	110801.38	118832.38
286	HD	HOMD	HOME DEPOT	1	Q	2013-06-30	Y	114823.79	121946.79
287	HD	HOMD	HOME DEPOT	1	Q	2013-03-31	Y	104333.59	111314.59
288	HD	HOMD	HOME DEPOT	1	Q	2012-12-31	Y	93235.29	101460.29
289	HD	HOMD	HOME DEPOT	1	Q	2012-09-30	Y	92406.07	100367.07
290	HD	HOMD	HOME DEPOT	1	Q	2012-06-30	Y	80803.92	88404.92
291	HD	HOMD	HOME DEPOT	1	Q	2012-03-31	Y	77556.3	86327.3
292	HD	HOMD	HOME DEPOT	1	Q	2011-12-31	Y	65762.84	74267.84
293	HD	HOMD	HOME DEPOT	1	Q	2011-09-30	Y	52337.09	60517.09
294	HD	HOMD	HOME DEPOT	1	Q	2011-06-30	Y	57882.07	66796.06
295	HD	HOMD	HOME DEPOT	1	Q	2011-03-31	Y	60734.71	68896.71
296	IBM	IBM	INTL BUS MACH	12	Q	2017-09-30	Y	135205.91	
297	IBM	IBM	INTL BUS MACH	12	Q	2017-06-30	Y	143360.38	168677.38
298	IBM	IBM	INTL BUS MACH	12	Q	2017-03-31	Y	163603.98	187349.98
299	IBM	IBM	INTL BUS MACH	12	Q	2016-12-31	Y	157832.44	183960.44
300	IBM	IBM	INTL BUS MACH	12	Q	2016-09-30	Y	151043.33	176638.33
301	IBM	IBM	INTL BUS MACH	12	Q	2016-06-30	Y	145101.69	174122.69
302	IBM	IBM	INTL BUS MACH	12	Q	2016-03-31	Y	145386.25	170771.25
303	IBM	IBM	INTL BUS MACH	12	Q	2015-12-31	Y	133506.55	158740.55
304	IBM	IBM	INTL BUS MACH	12	Q	2015-09-30	Y	140636.86	163190.86
305	IBM	IBM	INTL BUS MACH	12	Q	2015-06-30	Y	160545.44	185124.44
306	IBM	IBM	INTL BUS MACH	12	Q	2015-03-31	Y	158092.52	183583.52
307	IBM	IBM	INTL BUS MACH	12	Q	2014-12-31	Y	158996.05	185511.05
308	IBM	IBM	INTL BUS MACH	12	Q	2014-09-30	Y	187867.17	211123.17
309	IBM	IBM	INTL BUS MACH	12	Q	2014-06-30	Y	183478.42	207766.42
